date,service_id,agency_name,trip_id,trip_headsign,direction_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_color,shape_id,shape_points,wheelchair_accessible,bikes_allowed,weekday,weekend,ridership_count,avg_wait_time_min,avg_delay_min,fare_collected,weather_condition,bus_id,driver_id
2025-10-15,3302,London Transit,2235040,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,1,0,48,5.7,2.6,156.0,Sunny,BUS0694,DRV9940
2025-10-14,3302,London Transit,2234176,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,52,4.5,0.6,169.0,Snow,BUS0706,DRV8064
2025-11-17,3302,London Transit,2234292,Downtown via Oxford,1,104,104,Route 104,,3,A685BC,75751,191,0,0,1,0,45,5.9,1.8,146.25,Cloudy,BUS6520,DRV9331
2025-10-17,3602,London Transit,2234503,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,51,8.1,4.3,165.75,Sunny,BUS6501,DRV0697
2025-10-22,3602,London Transit,2234103,Downtown via Richmond,0,102,102,Route 102,,3,75AAAE,75743,96,0,0,1,0,42,3.4,2.6,136.5,Rain,BUS3016,DRV6758
2025-10-07,3302,London Transit,2235145,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,56,8.6,1.6,182.0,Sunny,BUS7480,DRV9940
2025-11-12,3302,London Transit,2234301,Downtown via Oxford,1,104,104,Route 104,,3,A685BC,75751,191,0,0,1,0,54,5.3,4.4,175.5,Windy,BUS1568,DRV9331
2025-09-22,3302,London Transit,2234440,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,58,6.4,0.8,188.5,Sunny,BUS4804,DRV4068
2025-10-27,3302,London Transit,2235122,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,50,3.9,3.4,162.5,Cloudy,BUS7403,DRV9940
2025-10-05,6404,London Transit,2235356,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,0,1,45,6.0,0.0,146.25,Cloudy,BUS5276,DRV5596
2025-10-06,3302,London Transit,2235046,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,1,0,58,4.7,5.4,188.5,Windy,BUS3505,DRV9940
2025-09-18,3302,London Transit,2234274,Fanshawe College via Oxford,0,104,104,Route 104,,3,A685BC,75748,194,0,0,1,0,40,10.6,7.3,130.0,Rain,BUS2535,DRV9331
2025-10-24,3302,London Transit,2234288,Fanshawe College via Oxford,0,104,104,Route 104,,3,A685BC,75748,194,0,0,1,0,44,3.1,2.4,143.0,Sunny,BUS4168,DRV9331
2025-10-22,3302,London Transit,2235041,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,1,0,55,8.6,0.5,178.75,Sunny,BUS1885,DRV9940
2025-11-13,3302,London Transit,2234104,Downtown via Richmond,0,102,102,Route 102,,3,75AAAE,75743,96,0,0,1,0,38,4.7,1.6,123.5,Sunny,BUS0645,DRV8064
2025-11-09,6404,London Transit,2234257,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,0,1,37,5.5,4.6,120.25,Cloudy,BUS2956,DRV7772
2025-11-03,3302,London Transit,2235069,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,1,0,47,8.4,3.4,152.75,Cloudy,BUS0166,DRV9940
2025-10-14,3302,London Transit,2234347,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,48,3.9,2.1,156.0,Cloudy,BUS9496,DRV4068
2025-11-10,3302,London Transit,2235158,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,48,4.7,0.0,156.0,Sunny,BUS0457,DRV9940
2025-10-28,3302,London Transit,2234413,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,47,8.7,2.7,152.75,Rain,BUS3270,DRV4068
2025-10-22,3602,London Transit,2234475,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,57,4.6,1.3,185.25,Cloudy,BUS9516,DRV0697
2025-11-17,3602,London Transit,2234369,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,54,5.2,3.7,175.5,Cloudy,BUS7478,DRV0697
2025-10-13,30,London Transit,2233900,Masonville via White Oaks Mall,0,10,10,Route 10,,3,6E9BCF,75734,416,0,0,1,0,51,7.0,1.9,165.75,Cloudy,BUS7153,DRV8857
2025-11-12,3302,London Transit,2234429,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,36,3.5,1.1,117.0,Cloudy,BUS8509,DRV4068
2025-10-02,3302,London Transit,2234155,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,52,9.6,5.0,169.0,Windy,BUS7958,DRV8064
2025-11-12,3302,London Transit,2234144,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,49,3.7,1.5,159.25,Snow,BUS2010,DRV8064
2025-10-11,3903,London Transit,2235172,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,0,1,57,7.3,4.3,185.25,Snow,BUS1960,DRV5899
2025-11-07,3302,London Transit,2235139,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,49,9.0,3.2,159.25,Cloudy,BUS5967,DRV9940
2025-11-13,3602,London Transit,2234483,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,48,3.2,4.8,156.0,Cloudy,BUS1563,DRV0697
2025-11-03,3302,London Transit,2235034,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,1,0,41,4.7,3.7,133.25,Cloudy,BUS1658,DRV9940
2025-11-18,3602,London Transit,2234479,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,61,6.8,4.7,198.25,Sunny,BUS9320,DRV0697
2025-11-18,3302,London Transit,2234350,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,41,6.0,1.6,133.25,Sunny,BUS9562,DRV4068
2025-10-04,3903,London Transit,2234330,Downtown via Oxford,1,104,104,Route 104,,3,A685BC,75751,191,0,0,0,1,51,6.2,1.8,165.75,Rain,BUS4285,DRV2849
2025-11-03,3302,London Transit,2234098,Downtown via Richmond,0,102,102,Route 102,,3,75AAAE,75744,88,0,0,1,0,43,5.5,2.9,139.75,Sunny,BUS5981,DRV8064
2025-11-06,3302,London Transit,2234192,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,44,6.7,0.5,143.0,Cloudy,BUS9945,DRV8064
2025-10-16,3302,London Transit,2234304,Downtown via Oxford,1,104,104,Route 104,,3,A685BC,75751,191,0,0,1,0,64,3.0,1.7,208.0,Cloudy,BUS4468,DRV9331
2025-09-16,3602,London Transit,2234372,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,51,5.4,2.0,165.75,Rain,BUS3144,DRV0697
2025-10-13,30,London Transit,2239333,Talbot Village via Commissioners,0,24,24,Route 24,,3,F166A7,75861,350,0,0,1,0,54,6.1,3.6,175.5,Sunny,BUS6078,DRV0873
2025-11-19,3302,London Transit,2234359,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,51,4.2,4.8,165.75,Sunny,BUS2031,DRV4068
2025-11-14,3302,London Transit,2235166,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,56,7.0,1.3,182.0,Sunny,BUS6099,DRV9940
2025-10-22,3602,London Transit,2234398,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,50,4.0,2.7,162.5,Windy,BUS8229,DRV0697
2025-11-05,3302,London Transit,2234172,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,65,7.3,4.5,211.25,Windy,BUS9321,DRV8064
2025-10-07,3302,London Transit,2235117,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,53,5.4,2.2,172.25,Rain,BUS3857,DRV9940
2025-10-31,3302,London Transit,2235058,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,1,0,52,9.5,2.4,169.0,Cloudy,BUS3033,DRV9940
2025-11-11,3302,London Transit,2234351,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,60,4.0,3.4,195.0,Rain,BUS1738,DRV4068
2025-11-10,3302,London Transit,2235054,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,1,0,29,3.6,0.3,94.25,Sunny,BUS9817,DRV9940
2025-10-11,3903,London Transit,2234328,Fanshawe College via Oxford,0,104,104,Route 104,,3,A685BC,75748,194,0,0,0,1,51,3.3,2.4,165.75,Cloudy,BUS4471,DRV2849
2025-10-30,3302,London Transit,2235090,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,1,0,52,12.3,2.0,169.0,Sunny,BUS7731,DRV9940
2025-10-06,3302,London Transit,2234151,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,60,8.0,1.2,195.0,Sunny,BUS1461,DRV8064
2025-09-30,3602,London Transit,2234366,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,44,8.1,4.2,143.0,Sunny,BUS3296,DRV0697
2025-11-05,3302,London Transit,2234054,Downtown via Richmond,0,102,102,Route 102,,3,75AAAE,75743,96,0,0,1,0,63,7.8,1.5,204.75,Windy,BUS2927,DRV8064
2025-10-27,3302,London Transit,2234432,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,52,6.0,2.6,169.0,Rain,BUS6491,DRV4068
2025-11-13,3302,London Transit,2235152,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,63,6.5,2.1,204.75,Sunny,BUS4321,DRV9940
2025-09-16,3602,London Transit,2234453,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,66,2.1,4.3,214.5,Rain,BUS8822,DRV0697
2025-11-13,3302,London Transit,2235146,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,58,7.4,2.4,188.5,Cloudy,BUS2161,DRV9940
2025-10-29,3302,London Transit,2234416,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,44,5.5,2.4,143.0,Sunny,BUS4647,DRV4068
2025-10-07,3602,London Transit,2234395,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,32,6.8,1.4,104.0,Sunny,BUS5572,DRV0697
2025-09-28,6404,London Transit,2234247,Downtown via Richmond,0,102,102,Route 102,,3,75AAAE,75743,96,0,0,0,1,42,6.9,3.6,136.5,Sunny,BUS1068,DRV7772
2025-10-17,3302,London Transit,2235102,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,36,2.7,1.3,117.0,Cloudy,BUS3557,DRV9940
2025-11-17,3302,London Transit,2234141,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,42,2.5,3.0,136.5,Sunny,BUS9650,DRV8064
2025-11-16,6404,London Transit,2235354,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,0,1,46,7.3,4.6,149.5,Cloudy,BUS1171,DRV5596
2025-10-10,3302,London Transit,2235124,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,56,7.1,1.7,182.0,Rain,BUS2111,DRV9940
2025-10-22,3602,London Transit,2234088,Downtown via Richmond,0,102,102,Route 102,,3,75AAAE,75743,96,0,0,1,0,61,5.1,0.7,198.25,Snow,BUS9121,DRV6758
2025-10-24,3302,London Transit,2234051,Downtown via Richmond,0,102,102,Route 102,,3,75AAAE,75743,96,0,0,1,0,63,4.2,1.0,204.75,Sunny,BUS1417,DRV8064
2025-10-13,30,London Transit,2230516,2B Natural Science via Dundas,1,02,02,Route 2,,3,75AAAE,75666,242,0,0,1,0,56,2.7,1.3,182.0,Sunny,BUS8478,DRV7762
2025-11-14,3302,London Transit,2235102,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,39,6.9,4.1,126.75,Rain,BUS3557,DRV9940
2025-11-06,3602,London Transit,2234158,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,45,5.6,0.5,146.25,Rain,BUS3459,DRV6758
2025-09-24,3302,London Transit,2234132,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,44,7.8,5.2,143.0,Sunny,BUS5210,DRV8064
2025-11-03,3302,London Transit,2235143,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,53,6.7,1.0,172.25,Sunny,BUS9167,DRV9940
2025-10-23,3602,London Transit,2234478,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,42,10.4,5.4,136.5,Rain,BUS2842,DRV0697
2025-10-17,3602,London Transit,2234400,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,37,2.9,2.0,120.25,Rain,BUS0559,DRV0697
2025-11-13,3302,London Transit,2234151,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,43,6.8,1.9,139.75,Snow,BUS1461,DRV8064
2025-11-22,3903,London Transit,2235198,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,0,1,38,5.5,5.1,123.5,Rain,BUS1131,DRV5899
2025-10-13,30,London Transit,2240329,Fanshawe College via Western University,1,27,27,Route 27,,3,9E91A1,75873,322,0,0,1,0,42,4.6,5.1,136.5,Sunny,BUS7277,DRV9867
2025-10-17,3302,London Transit,2234279,Fanshawe College via Oxford,0,104,104,Route 104,,3,A685BC,75748,194,0,0,1,0,43,4.9,4.0,139.75,Sunny,BUS9103,DRV9331
2025-11-06,3302,London Transit,2235071,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,1,0,44,5.5,2.4,143.0,Cloudy,BUS5565,DRV9940
2025-09-18,3302,London Transit,2234267,Fanshawe College via Oxford,0,104,104,Route 104,,3,A685BC,75746,157,0,0,1,0,66,5.0,4.9,214.5,Cloudy,BUS3364,DRV9331
2025-09-17,3602,London Transit,2234374,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,37,8.2,1.5,120.25,Cloudy,BUS4068,DRV0697
2025-10-11,3903,London Transit,2235209,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,0,1,53,2.1,1.7,172.25,Rain,BUS3779,DRV5899
2025-09-24,3302,London Transit,2235113,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,56,6.9,4.4,182.0,Sunny,BUS1939,DRV9940
2025-11-19,3602,London Transit,2234365,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,53,4.0,3.8,172.25,Snow,BUS9615,DRV0697
2025-10-30,3602,London Transit,2234474,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,41,4.4,3.2,133.25,Sunny,BUS8630,DRV0697
2025-10-20,3602,London Transit,2234477,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,50,6.9,2.3,162.5,Sunny,BUS2410,DRV0697
2025-10-10,3302,London Transit,2235156,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,39,7.6,1.0,126.75,Sunny,BUS2188,DRV9940
2025-09-14,6404,London Transit,2235397,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,0,1,39,5.1,3.6,126.75,Windy,BUS2099,DRV5596
2025-09-25,3602,London Transit,2234177,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,39,8.0,2.4,126.75,Cloudy,BUS8722,DRV6758
2025-10-22,3602,London Transit,2234446,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,57,3.0,2.9,185.25,Cloudy,BUS9607,DRV0697
2025-11-11,3602,London Transit,2234505,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75755,102,0,0,1,0,47,2.7,4.3,152.75,Cloudy,BUS0851,DRV0697
2025-11-11,3302,London Transit,2235087,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,1,0,54,5.8,3.1,175.5,Sunny,BUS9632,DRV9940
2025-11-22,3903,London Transit,2235228,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,0,1,50,7.3,1.5,162.5,Rain,BUS7240,DRV5899
2025-10-15,3602,London Transit,2234471,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,68,5.4,1.9,221.0,Sunny,BUS3028,DRV0697
2025-09-28,6404,London Transit,2235386,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,0,1,49,10.3,1.7,159.25,Cloudy,BUS0474,DRV5596
2025-11-04,3302,London Transit,2235131,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,44,6.4,0.0,143.0,Windy,BUS6281,DRV9940
2025-10-22,3302,London Transit,2234178,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,47,4.6,5.6,152.75,Sunny,BUS0938,DRV8064
2025-10-02,3302,London Transit,2234296,Downtown via Oxford,1,104,104,Route 104,,3,A685BC,75751,191,0,0,1,0,60,4.0,1.9,195.0,Cloudy,BUS8146,DRV9331
2025-09-17,3302,London Transit,2235107,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,40,7.6,2.5,130.0,Sunny,BUS8259,DRV9940
2025-11-22,3903,London Transit,2234335,Downtown via Oxford,1,104,104,Route 104,,3,A685BC,75751,191,0,0,0,1,52,5.5,3.4,169.0,Cloudy,BUS6001,DRV2849
2025-11-03,3302,London Transit,2235075,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,1,0,52,9.2,2.0,169.0,Sunny,BUS1000,DRV9940
2025-10-22,3602,London Transit,2234367,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,47,6.4,3.9,152.75,Cloudy,BUS9725,DRV0697
2025-11-07,3302,London Transit,2235052,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,1,0,42,3.1,4.0,136.5,Sunny,BUS7411,DRV9940
2025-09-24,3602,London Transit,2234183,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,53,8.6,2.8,172.25,Cloudy,BUS8624,DRV6758
2025-10-13,30,London Transit,2234920,Downtown via Wharncliffe,1,12,12,Route 12,,3,C082AA,75759,130,0,0,1,0,57,6.6,4.5,185.25,Sunny,BUS4604,DRV6667
2025-11-12,3302,London Transit,2234172,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,62,11.7,0.8,201.5,Cloudy,BUS9321,DRV8064
2025-11-19,3602,London Transit,2234180,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,29,6.2,2.1,94.25,Windy,BUS7154,DRV6758
2025-10-20,3302,London Transit,2234498,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,50,4.6,1.6,162.5,Sunny,BUS7648,DRV4068
2025-10-01,3602,London Transit,2234501,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,50,6.6,3.4,162.5,Cloudy,BUS0271,DRV0697
2025-10-13,30,London Transit,2239826,Fanshawe College via Fanshawe Park Rd,1,25,25,Route 25,,3,DDBD85,75870,211,0,0,1,0,39,1.8,2.1,126.75,Rain,BUS6358,DRV7963
2025-09-23,3602,London Transit,2234375,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,40,5.1,4.2,130.0,Sunny,BUS6365,DRV0697
2025-10-21,3302,London Transit,2234185,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,51,6.8,0.6,165.75,Rain,BUS7209,DRV8064
2025-10-13,30,London Transit,2235926,13A Masonville Mall via Westminster Park,1,13,13,Route 13,,3,929EBC,75781,330,0,0,1,0,49,5.1,2.8,159.25,Cloudy,BUS8547,DRV9540
2025-10-22,3602,London Transit,2234474,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,55,4.7,1.7,178.75,Sunny,BUS8630,DRV0697
2025-10-15,3602,London Transit,2234401,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,44,8.4,3.6,143.0,Rain,BUS2826,DRV0697
2025-11-08,3903,London Transit,2235237,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,0,1,50,6.7,1.2,162.5,Sunny,BUS6898,DRV5899
2025-09-18,3302,London Transit,2235115,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,41,5.7,3.3,133.25,Sunny,BUS8885,DRV9940
2025-09-29,3302,London Transit,2234300,Downtown via Oxford,1,104,104,Route 104,,3,A685BC,75751,191,0,0,1,0,43,7.9,3.5,139.75,Sunny,BUS8857,DRV9331
2025-11-12,3302,London Transit,2234184,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,50,9.0,3.1,162.5,Snow,BUS9698,DRV8064
2025-10-22,3302,London Transit,2234360,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,53,6.1,1.3,172.25,Rain,BUS3564,DRV4068
2025-09-20,3903,London Transit,2234226,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,0,1,49,6.6,0.8,159.25,Rain,BUS7889,DRV1714
2025-10-26,6404,London Transit,2235384,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,0,1,56,4.5,0.9,182.0,Snow,BUS8835,DRV5596
2025-09-27,3903,London Transit,2234199,Downtown via Richmond,0,102,102,Route 102,,3,75AAAE,75743,96,0,0,0,1,47,7.5,2.4,152.75,Sunny,BUS5674,DRV1714
2025-09-23,3302,London Transit,2235062,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,1,0,56,6.3,1.8,182.0,Rain,BUS8224,DRV9940
2025-10-02,3302,London Transit,2234418,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,40,5.3,7.1,130.0,Cloudy,BUS8983,DRV4068
2025-09-26,3602,London Transit,2234106,Downtown via Richmond,0,102,102,Route 102,,3,75AAAE,75743,96,0,0,1,0,46,2.9,3.1,149.5,Sunny,BUS1142,DRV6758
2025-10-09,3302,London Transit,2235103,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,42,8.9,0.3,136.5,Cloudy,BUS8023,DRV9940
2025-09-17,3602,London Transit,2234128,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,53,4.7,3.5,172.25,Sunny,BUS3402,DRV6758
2025-11-08,3903,London Transit,2234324,Fanshawe College via Oxford,0,104,104,Route 104,,3,A685BC,75748,194,0,0,0,1,45,8.0,4.3,146.25,Cloudy,BUS9202,DRV2849
2025-11-13,3302,London Transit,2234189,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,38,4.6,0.9,123.5,Rain,BUS4940,DRV8064
2025-10-03,3302,London Transit,2234267,Fanshawe College via Oxford,0,104,104,Route 104,,3,A685BC,75746,157,0,0,1,0,47,5.4,3.0,152.75,Cloudy,BUS3364,DRV9331
2025-10-27,3602,London Transit,2234121,Natural Science via Western/Wharncliffe,1,102,102,Route 102,,3,75AAAE,75745,126,0,0,1,0,48,8.5,5.0,156.0,Sunny,BUS7314,DRV6758
2025-10-05,6404,London Transit,2235385,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,0,1,37,4.0,3.6,120.25,Sunny,BUS3056,DRV5596
2025-11-18,3302,London Transit,2234279,Fanshawe College via Oxford,0,104,104,Route 104,,3,A685BC,75748,194,0,0,1,0,56,4.7,0.1,182.0,Sunny,BUS9103,DRV9331
2025-10-02,3602,London Transit,2234372,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,51,5.2,2.0,165.75,Sunny,BUS3144,DRV0697
